date,bci
2022-09-30,99.94551
2022-10-31,99.75784
2022-11-30,99.6305
2022-12-31,99.58128
2023-01-31,99.58277
2023-02-28,99.57208
2023-03-31,99.52724
2023-04-30,99.44601
2023-05-31,99.35821
2023-06-30,99.29675
2023-07-31,99.27721
2023-08-31,99.27726
2023-09-30,99.27799
2023-10-31,99.25097
2023-11-30,99.23271
2023-12-31,99.28342
2024-01-31,99.37098
2024-02-29,99.44456
2024-03-31,99.51871
2024-04-30,99.51921
2024-05-31,99.45822
2024-06-30,99.39388
2024-07-31,99.32886
2024-08-31,99.28866
2024-09-30,99.25899
2024-10-31,99.2645
2024-11-30,99.31123
2024-12-31,99.34147
2025-01-31,99.42811
2025-02-28,99.47633
2025-03-31,99.45541
2025-04-30,99.40366
2025-05-31,99.35443
2025-06-30,99.32861
2025-07-31,99.32477
2025-08-31,99.34964
2025-09-30,99.37999
2025-10-31,99.41536
2025-11-30,99.46415
2025-12-31,99.60216
2026-01-31,99.79528
2026-02-28,99.88267
2026-03-31,99.87588
2026-04-30,99.83207
