date,cape
1926-12-31,13.009052728993133
1927-01-31,13.185930628677792
1927-02-28,13.633966132216212
1927-03-31,14.033257507604494
1927-04-30,14.488222209157056
1927-05-31,15.002347055737118
1927-06-30,15.12033348174753
1927-07-31,15.820802594477753
1927-08-31,16.86286185276381
1927-09-30,17.818723713516423
1927-10-31,17.53723785226109
1927-11-30,18.13130143495243
1927-12-31,18.646624021402527
1928-01-31,18.80612857170077
1928-02-29,18.86885051958404
1928-03-31,19.94341779906454
1928-04-30,21.257909249487497
1928-05-31,21.83273217874003
1928-06-30,20.913421576866707
1928-07-31,21.081905435296793
1928-08-31,21.76213150257924
1928-09-30,23.004649446159235
1928-10-31,23.578344239585043
1928-11-30,25.121984571109593
1928-12-31,25.301591027426145
1929-01-31,27.083199620832772
1929-02-28,27.13167279824738
1929-03-31,27.67574843786188
1929-04-30,27.5684544728983
1929-05-31,27.698586875008132
1929-06-30,27.935467830288687
1929-07-31,29.933289406842214
1929-08-31,31.480313247173004
1929-09-30,32.5637885987767
1929-10-31,28.96106716435479
1929-11-30,21.17103600009704
1929-12-31,22.007373176418334
1930-01-31,22.310724294336847
1930-02-28,23.69711774933588
1930-03-31,24.58660779266885
1930-04-30,25.843436862018308
1930-05-31,24.309760633908166
1930-06-30,21.866899333389473
1930-07-31,21.548797592546645
1930-08-31,21.300602241118145
1930-09-30,21.07258178844731
1930-10-31,18.214870154658627
1930-11-30,16.93971137777516
1930-12-31,16.05500185653132
1931-01-31,16.705478731547604
1931-02-28,18.161492436976086
1931-03-31,18.579561032791283
1931-04-30,16.87231533160966
1931-05-31,15.401539999110106
1931-06-30,15.062476074643241
1931-07-31,15.516750095516311
1931-08-31,15.006276602886537
1931-09-30,12.81774526110688
1931-10-31,11.145926407660927
1931-11-30,11.415600295644674
1931-12-31,9.306032867968314
1932-01-31,9.312406455177843
1932-02-29,9.3369322510084
1932-03-31,9.413065028012209
1932-04-30,7.192233196115484
1932-05-31,6.390857289881442
1932-06-30,5.565059371528964
1932-07-31,5.838763671851199
1932-08-31,8.83465320518121
1932-09-30,9.761168564063706
1932-10-31,8.478606607689082
1932-11-30,8.463309567122897
1932-12-31,8.25707399910068
1933-01-31,8.728046162813529
1933-02-28,7.826051751316596
1933-03-31,7.874681322943168
1933-04-30,8.723101646068113
1933-05-31,11.249651251932447
1933-06-30,13.098875517269521
1933-07-31,13.754304493874534
1933-08-31,12.999527050367737
1933-09-30,12.922920614885996
