market,sim,c1,c2,rss_impr_pct,b_MR,b_EX
athex,21,98.166,101.6973,4.2209,-0.057604,-0.12521
athex,22,99.2407,101.3902,4.33,-0.068275,-0.046967
athex,23,97.168,99.1639,2.78,-0.021687,-0.009587
athex,24,97.3215,101.1599,4.4336,-0.208141,-0.174693
athex,25,96.9377,99.0872,4.2128,-0.474088,-0.02832
athex,26,99.0872,101.0831,7.4209,0.009594,-0.308436
athex,27,99.471,102.0043,3.102,-0.040219,-0.295847
athex,28,98.0124,101.467,1.6812,-0.049124,-0.104482
athex,29,96.8609,101.6973,5.6025,-0.444613,-0.341777
athex,30,97.168,100.7761,5.492,0.17659,-0.122224
athex,31,96.9377,99.471,4.0792,-1.068588,-0.038755
athex,32,99.2407,102.0811,2.8883,-0.018933,0.136499
athex,33,99.471,101.6205,4.5943,-0.053069,-0.497829
athex,34,96.8609,102.0043,4.2899,-0.939859,-0.220792
athex,35,98.9336,101.2367,4.1417,-0.03881,-0.040093
athex,36,98.2427,101.6205,3.3489,0.034063,-0.193546
athex,37,98.473,100.9296,3.2295,0.027842,-0.062135
athex,38,98.7801,101.3902,2.1193,-0.052329,-0.227271
athex,39,96.17,98.3195,2.4394,0.0,-0.015943
athex,40,96.9377,102.2346,4.339,-0.945982,-0.434771
athex,41,98.166,101.6205,4.8334,-0.032803,-0.789386
athex,42,99.6245,101.774,3.8904,-0.012751,-0.470044
athex,43,96.7841,101.8508,3.5522,-1.323879,-0.536414
athex,44,97.6286,101.3902,6.1676,0.063328,-0.06747
athex,45,97.6286,101.3902,4.8245,-0.072572,-0.329428
athex,46,97.168,101.774,4.0335,0.029176,-0.382449
athex,47,99.0872,102.0811,2.7516,-0.020737,-0.013196
athex,48,99.6245,101.8508,5.7147,-0.08131,-0.21376
athex,49,99.2407,101.3902,6.5856,-0.045469,-0.422276
ta125,0,97.7995,101.4561,3.3446,-0.024288,-0.172604
ta125,1,99.2621,101.4561,2.6222,0.013925,-0.05158
ta125,2,97.0682,101.7486,3.1681,-0.847623,-0.231005
ta125,3,98.7502,100.871,2.7376,-0.016569,-0.004982
ta125,4,97.2144,101.8948,3.0797,0.023495,-0.255013
ta125,5,99.1159,101.2367,4.3882,-0.081439,-0.25168
ta125,6,96.7757,101.3098,2.5127,-2.04179,-0.245942
ta125,7,99.0427,101.3098,3.6633,-0.018697,-0.246718
ta125,8,99.0427,101.3829,3.5632,-0.016917,-0.062769
ta125,9,96.8488,100.6516,3.2301,-1.787025,0.006036
ta125,10,97.0682,100.0666,2.1152,-0.661385,-0.007165
ta125,11,97.1413,99.1159,2.267,0.115934,-0.006533
ta125,12,99.1159,101.5292,2.71,-0.024872,-0.209636
ta125,13,99.3353,101.3829,3.5151,-0.00547,-0.220935
ta125,14,97.2144,101.6023,2.7561,-0.045341,-0.040498
ta125,15,96.9219,101.8948,4.0072,-1.226225,-0.252237
ta125,16,97.0682,100.5785,2.8635,-0.741363,-0.006462
