market,sim,c1,c2,rss_impr_pct,b_MR,b_EX
aex,25,97.5801,102.1874,2.5752,0.027558,0.159277
aex,26,99.2621,101.3829,4.2684,-0.014962,-0.151026
aex,27,98.4577,101.7486,3.8943,-0.003645,-0.295565
aex,28,96.9219,98.9696,3.5825,-1.091881,0.006076
aex,29,96.8488,102.0411,3.8093,-0.739808,-0.631009
aex,30,96.8488,100.5054,2.5302,-2.066043,-0.027921
aex,31,98.8965,101.7486,2.7861,-0.018087,-0.337879
aex,32,98.9696,100.9441,4.5039,-0.145584,-0.029086
aex,33,97.2144,101.3829,3.828,0.057627,-0.138929
aex,34,96.7757,101.8948,2.8339,-1.157437,-0.242537
aex,35,96.9219,100.871,3.4,-0.469087,-0.068763
aex,36,96.8488,101.968,3.2125,-0.788426,-0.983009
aex,37,98.3845,101.1635,3.9012,-0.114548,-0.052638
aex,38,98.5308,101.6755,3.0165,0.012377,-0.736222
aex,39,98.3114,101.6023,2.3676,-0.010966,-0.109733
aex,40,97.0682,101.8948,2.963,-1.013307,-0.260427
aex,41,97.0682,101.7486,4.6,-1.050106,-0.10303
aex,42,97.7264,100.6516,3.3232,0.008349,-0.007277
aex,43,98.8233,101.0904,2.6346,0.010829,0.024173
aex,44,96.7757,98.8233,4.2134,-1.160415,-0.004565
aex,45,96.7757,101.4561,4.697,0.456544,-0.742601
aex,46,98.1652,101.1635,3.9859,-0.181767,-0.168746
aex,47,97.1413,100.5054,2.7557,-0.059297,-0.017006
aex,48,98.6771,100.6516,3.4387,-0.109657,-0.044711
aex,49,97.0682,101.4561,1.9393,-0.643152,-0.202008
athex,0,99.9316,101.9276,7.296,-0.119727,-0.548381
athex,1,97.3983,101.6205,4.6513,-0.283495,-0.467746
athex,2,96.8609,99.2407,3.5467,-1.083958,-0.040334
athex,3,101.0831,103.0791,4.6853,-0.056296,0.0
athex,4,98.7033,100.8528,4.3493,-0.04755,-0.042263
athex,5,99.3175,101.8508,2.7344,-0.042596,-0.300348
athex,6,99.7781,101.774,3.907,-0.04676,-0.590907
athex,7,97.5518,99.9316,4.7917,-0.703872,-0.016917
athex,8,97.8589,99.8548,4.8318,0.21879,-0.066122
athex,9,97.168,100.3155,6.6751,-0.154149,-0.020137
athex,10,97.0144,99.1639,1.9655,-0.547056,-0.007442
athex,11,98.0124,102.2346,3.1848,-0.029095,-0.947719
athex,12,96.7841,99.3175,4.0911,-0.382798,-0.010439
athex,13,97.168,99.7013,5.9855,-0.026425,-0.005493
athex,14,96.7841,99.7013,5.2973,-2.574226,-0.056383
athex,15,98.9336,101.9276,4.6995,-0.044572,-0.541549
athex,16,98.166,101.0831,3.2958,0.015324,-0.054811
athex,17,97.5518,101.6205,3.8159,-0.13363,-0.430153
athex,18,96.9377,101.5437,3.7231,-1.464045,-0.519772
athex,19,100.2387,102.2346,4.6812,-0.083376,-0.538089
athex,20,99.0104,101.1599,3.6278,-0.004241,-0.07144
athex,21,97.6286,99.6245,4.355,-0.330754,0.014251
athex,22,96.9377,101.8508,2.442,-0.119368,-0.323036
athex,23,98.3195,100.3155,5.3376,-0.146244,-0.004235
athex,24,96.7841,99.7013,2.6986,-1.926558,-0.021621
athex,25,97.0144,101.774,3.2467,-1.217573,-0.360515
athex,26,98.7801,100.8528,5.3906,-0.080359,-0.049966
athex,27,98.7801,102.0811,4.1466,-0.046302,-0.442325
athex,28,96.9377,101.774,4.8867,-1.135317,-0.736509
athex,29,98.9336,101.467,5.1687,-0.069772,-0.347793
athex,30,99.7781,102.2346,7.0411,-0.128675,-1.824919
athex,31,97.7821,99.7781,2.1432,-0.097957,-0.022157
athex,32,97.7821,101.8508,3.7434,-0.077153,-0.370599
athex,33,96.8609,99.471,4.3697,-1.378888,-0.064547
athex,34,98.7801,101.9276,3.5393,0.0006,-0.629198
athex,35,96.8609,100.1619,2.9009,-0.098201,0.016884
athex,36,98.6266,101.774,4.7029,0.031506,-0.379756
